adjective1,adjective2,negation1,antonymy_class,subclass,frequency
typical,atypical,not typical,morphological,simple_negation,668
confident,diffident,not confident,morphological,simple_negation,817
similar,dissimilar,not similar,morphological,simple_negation,314
dissimilar,similar,not dissimilar,morphological,double_negation,1448
legitimate,illegitimate,not legitimate,morphological,simple_negation,182
material,immaterial,not material,morphological,simple_negation,219
permanent,impermanent,not permanent,morphological,simple_negation,374
practical,impractical,not practical,morphological,simple_negation,1512
probable,improbable,not probable,morphological,simple_negation,139
improbable,probable,not improbable,morphological,double_negation,199
proper,improper,not proper,morphological,simple_negation,374
active,inactive,not active,morphological,simple_negation,773
comparable,incomparable,not comparable,morphological,simple_negation,478
correct,incorrect,not correct,morphological,simple_negation,1008
corrupt,incorrupt,not corrupt,morphological,simple_negation,133
credible,incredible,not credible,morphological,simple_negation,294
definite,indefinite,not definite,morphological,simple_negation,109
direct,indirect,not direct,morphological,simple_negation,397
efficient,inefficient,not efficient,morphological,simple_negation,185
flexible,inflexible,not flexible,morphological,simple_negation,199
offensive,inoffensive,not offensive,morphological,simple_negation,209
sensible,insensible,not sensible,morphological,simple_negation,246
substantial,insubstantial,not substantial,morphological,simple_negation,128
sufficient,insufficient,not sufficient,morphological,simple_negation,6102
valid,invalid,not valid,morphological,simple_negation,1856
visible,invisible,not visible,morphological,simple_negation,2238
responsible,irresponsible,not responsible,morphological,simple_negation,11454
political,nonpolitical,not political,morphological,simple_negation,490
traditional,nontraditional,not traditional,morphological,simple_negation,250
violent,nonviolent,not violent,morphological,simple_negation,144
able,unable,not able,morphological,simple_negation,18816
afraid,unafraid,not afraid,morphological,simple_negation,4345
ashamed,unashamed,not ashamed,morphological,simple_negation,986
attractive,unattractive,not attractive,morphological,simple_negation,223
available,unavailable,not available,morphological,simple_negation,32704
christian,unchristian,not christian,morphological,simple_negation,252
civil,uncivil,not civil,morphological,simple_negation,174
common,uncommon,not common,morphological,simple_negation,1858
uncommon,common,not uncommon,morphological,double_negation,7282
democratic,undemocratic,not democratic,morphological,simple_negation,127
desirable,undesirable,not desirable,morphological,simple_negation,481
due,undue,not due,morphological,simple_negation,3543
familiar,unfamiliar,not familiar,morphological,simple_negation,2970
unfamiliar,familiar,not unfamiliar,morphological,double_negation,130
fashionable,unfashionable,not fashionable,morphological,simple_negation,108
fit,unfit,not fit,morphological,simple_negation,1222
happy,unhappy,not happy,morphological,simple_negation,6683
unhappy,happy,not unhappy,morphological,double_negation,119
helpful,unhelpful,not helpful,morphological,simple_negation,835
identifiable,unidentifiable,not identifiable,morphological,simple_negation,136
impressive,unimpressive,not impressive,morphological,simple_negation,115
just,unjust,not just,morphological,simple_negation,114
kind,unkind,not kind,morphological,simple_negation,119
like,unlike,not like,morphological,simple_negation,370
limited,unlimited,not limited,morphological,simple_negation,7159
unlimited,limited,not unlimited,morphological,double_negation,117
loving,unloving,not loving,morphological,simple_negation,112
lucky,unlucky,not lucky,morphological,simple_negation,199
married,unmarried,not married,morphological,simple_negation,147
necessary,unnecessary,not necessary,morphological,simple_negation,11293
popular,unpopular,not popular,morphological,simple_negation,1210
profitable,unprofitable,not profitable,morphological,simple_negation,281
ready,unready,not ready,morphological,simple_negation,4060
realistic,unrealistic,not realistic,morphological,simple_negation,455
responsive,unresponsive,not responsive,morphological,simple_negation,148
satisfactory,unsatisfactory,not satisfactory,morphological,simple_negation,566
scientific,unscientific,not scientific,morphological,simple_negation,271
skilled,unskilled,not skilled,morphological,simple_negation,105
social,unsocial,not social,morphological,simple_negation,248
willing,unwilling,not willing,morphological,simple_negation,3098
worthy,unworthy,not worthy,morphological,simple_negation,1229
historical,ahistorical,not historical,morphological,simple_negation,256
continuous,discontinuous,not continuous,morphological,simple_negation,280
honest,dishonest,not honest,morphological,simple_negation,142
legal,illegal,not legal,morphological,simple_negation,896
illegal,legal,not illegal,morphological,double_negation,1001
logical,illogical,not logical,morphological,simple_negation,178
mature,immature,not mature,morphological,simple_negation,128
moral,immoral,not moral,morphological,simple_negation,137
perfect,imperfect,not perfect,morphological,simple_negation,2072
permissible,impermissible,not permissible,morphological,simple_negation,495
personal,impersonal,not personal,morphological,simple_negation,404
explicit,implicit,not explicit,morphological,simple_negation,271
possible,impossible,not possible,morphological,simple_negation,27653
impossible,possible,not impossible,morphological,double_negation,2668
precise,imprecise,not precise,morphological,simple_negation,246
pure,impure,not pure,morphological,simple_negation,369
accessible,inaccessible,not accessible,morphological,simple_negation,1795
accurate,inaccurate,not accurate,morphological,simple_negation,624
adequate,inadequate,not adequate,morphological,simple_negation,927
admissible,inadmissible,not admissible,morphological,simple_negation,164
advisable,inadvisable,not advisable,morphological,simple_negation,919
appropriate,inappropriate,not appropriate,morphological,simple_negation,3944
inappropriate,appropriate,not inappropriate,morphological,double_negation,135
capable,incapable,not capable,morphological,simple_negation,2320
compatible,incompatible,not compatible,morphological,simple_negation,2204
incompatible,compatible,not incompatible,morphological,double_negation,334
competent,incompetent,not competent,morphological,simple_negation,429
complete,incomplete,not complete,morphological,simple_negation,2019
conclusive,inconclusive,not conclusive,morphological,simple_negation,528
consistent,inconsistent,not consistent,morphological,simple_negation,1511
inconsistent,consistent,not inconsistent,morphological,double_negation,710
constant,inconstant,not constant,morphological,simple_negation,396
convenient,inconvenient,not convenient,morphological,simple_negation,371
decisive,indecisive,not decisive,morphological,simple_negation,119
dependent,independent,not dependent,morphological,simple_negation,1650
independent,dependent,not independent,morphological,double_negation,678
discriminate,indiscriminate,not discriminate,morphological,simple_negation,1669
distinct,indistinct,not distinct,morphological,simple_negation,191
divisible,indivisible,not divisible,morphological,simple_negation,176
effective,ineffective,not effective,morphological,simple_negation,1218
eligible,ineligible,not eligible,morphological,simple_negation,4253
exact,inexact,not exact,morphological,simple_negation,323
formal,informal,not formal,morphological,simple_negation,192
frequent,infrequent,not frequent,morphological,simple_negation,156
infrequent,frequent,not infrequent,morphological,double_negation,177
secure,insecure,not secure,morphological,simple_negation,452
sensitive,insensitive,not sensitive,morphological,simple_negation,435
significant,insignificant,not significant,morphological,simple_negation,990
insignificant,significant,not insignificant,morphological,double_negation,430
vulnerable,invulnerable,not vulnerable,morphological,simple_negation,185
rational,irrational,not rational,morphological,simple_negation,152
reducible,irreducible,not reducible,morphological,simple_negation,146
regular,irregular,not regular,morphological,simple_negation,315
acceptable,unacceptable,not acceptable,morphological,simple_negation,3487
attributable,unattributable,not attributable,morphological,simple_negation,235
aware,unaware,not aware,morphological,simple_negation,7791
unaware,aware,not unaware,morphological,double_negation,128
certain,uncertain,not certain,morphological,simple_negation,2893
characteristic,uncharacteristic,not characteristic,morphological,simple_negation,115
clean,unclean,not clean,morphological,simple_negation,227
clear,unclear,not clear,morphological,simple_negation,15096
comfortable,uncomfortable,not comfortable,morphological,simple_negation,755
conscious,unconscious,not conscious,morphological,simple_negation,297
conventional,unconventional,not conventional,morphological,simple_negation,131
critical,uncritical,not critical,morphological,simple_negation,406
easy,uneasy,not easy,morphological,simple_negation,9747
enforceable,unenforceable,not enforceable,morphological,simple_negation,170
enthusiastic,unenthusiastic,not enthusiastic,morphological,simple_negation,199
equal,unequal,not equal,morphological,simple_negation,1496
fair,unfair,not fair,morphological,simple_negation,1597
unfair,fair,not unfair,morphological,double_negation,122
favorable,unfavorable,not favorable,morphological,simple_negation,108
free,unfree,not free,morphological,simple_negation,2270
friendly,unfriendly,not friendly,morphological,simple_negation,109
healthy,unhealthy,not healthy,morphological,simple_negation,264
important,unimportant,not important,morphological,simple_negation,1941
unimportant,important,not unimportant,morphological,double_negation,111
intelligent,unintelligent,not intelligent,morphological,simple_negation,165
interested,uninterested,not interested,morphological,simple_negation,5241
interesting,uninteresting,not interesting,morphological,simple_negation,172
lawful,unlawful,not lawful,morphological,simple_negation,347
unlawful,lawful,not unlawful,morphological,double_negation,162
likely,unlikely,not likely,morphological,simple_negation,6134
unlikely,likely,not unlikely,morphological,double_negation,318
natural,unnatural,not natural,morphological,simple_negation,590
noticeable,unnoticeable,not noticeable,morphological,simple_negation,162
official,unofficial,not official,morphological,simple_negation,463
original,unoriginal,not original,morphological,simple_negation,518
pleasant,unpleasant,not pleasant,morphological,simple_negation,296
unpleasant,pleasant,not unpleasant,morphological,double_negation,146
predictable,unpredictable,not predictable,morphological,simple_negation,132
productive,unproductive,not productive,morphological,simple_negation,117
professional,unprofessional,not professional,morphological,simple_negation,307
real,unreal,not real,morphological,simple_negation,1434
reasonable,unreasonable,not reasonable,morphological,simple_negation,664
unreasonable,reasonable,not unreasonable,morphological,double_negation,1057
recoverable,unrecoverable,not recoverable,morphological,simple_negation,181
reliable,unreliable,not reliable,morphological,simple_negation,438
restricted,unrestricted,not restricted,morphological,simple_negation,294
sound,unsound,not sound,morphological,simple_negation,146
stable,unstable,not stable,morphological,simple_negation,343
successful,unsuccessful,not successful,morphological,simple_negation,2361
supportive,unsupportive,not supportive,morphological,simple_negation,205
sure,unsure,not sure,morphological,simple_negation,40753
sympathetic,unsympathetic,not sympathetic,morphological,simple_negation,146
usual,unusual,not usual,morphological,simple_negation,366
unusual,usual,not unusual,morphological,double_negation,4317
welcome,unwelcome,not welcome,morphological,simple_negation,654
inconsiderable,considerable,not inconsiderable,morphological,double_negation,593
unrelated,related,not unrelated,morphological,double_negation,173
infallible,fallible,not infallible,morphological,double_negation,214
infinite,finite,not infinite,morphological,double_negation,127
unexpected,expected,not unexpected,morphological,double_negation,384
unknown,known,not unknown,morphological,double_negation,1124
negligent,diligent,not negligent,lexical,---,104
fair,foul,not fair,lexical,---,1597
present,absent,not present,lexical,contradictory_antonyms,6621
absent,present,not absent,lexical,contradictory_antonyms,112
hot,cold,not hot,lexical,contrary_antonyms,305
cold,hot,not cold,lexical,contrary_antonyms,265
active,extinct,not active,lexical,---,773
warm,cool,not warm,lexical,contrary_antonyms,106
cool,warm,not cool,lexical,contrary_antonyms,217
smooth,rough,not smooth,lexical,---,163
sharp,flat,not sharp,lexical,contrary_antonyms,142
flat,sharp,not flat,lexical,contrary_antonyms,225
natural,flat,not natural,lexical,---,590
flat,natural,not flat,lexical,---,225
straight,crooked,not straight,lexical,---,222
hard,soft,not hard,lexical,---,2539
soft,hard,not soft,lexical,---,120
long,short,not long,lexical,contrary_antonyms,4211
short,long,not short,lexical,contrary_antonyms,664
close,distant,not close,lexical,---,516
national,international,not national,lexical,---,207
international,national,not international,lexical,---,145
prescriptive,descriptive,not prescriptive,lexical,---,217
fast,slow,not fast,lexical,---,123
slow,fast,not slow,lexical,---,461
full,empty,not full,lexical,contrary_antonyms,943
empty,full,not empty,lexical,contrary_antonyms,419
military,civilian,not military,lexical,---,177
civil,sidereal,not civil,lexical,---,174
loud,soft,not loud,lexical,contrary_antonyms,101
soft,loud,not soft,lexical,contrary_antonyms,120
uniform,multiform,not uniform,lexical,contradictory_antonyms,499
present,past,not present,lexical,contrary_antonyms,6621
present,future,not present,lexical,contrary_antonyms,6621
sharp,dull,not sharp,lexical,---,142
early,late,not early,lexical,contrary_antonyms,268
late,early,not late,lexical,contrary_antonyms,321
hungry,thirsty,not hungry,lexical,---,196
linear,planar,not linear,lexical,---,250
offensive,defensive,not offensive,lexical,contrary_antonyms,209
active,passive,not active,lexical,---,773
passive,active,not passive,lexical,---,217
simple,compound,not simple,lexical,contradictory_antonyms,625
single,multiple,not single,lexical,contradictory_antonyms,280
linear,cubic,not linear,lexical,---,250
functional,organic,not functional,lexical,---,121
dominant,recessive,not dominant,lexical,---,107
foreign,native,not foreign,lexical,contradictory_antonyms,153
native,foreign,not native,lexical,contradictory_antonyms,664
extensive,intensive,not extensive,lexical,---,200
plain,fancy,not plain,lexical,contrary_antonyms,119
fancy,plain,not fancy,lexical,contrary_antonyms,236
top,side,not top,lexical,contrary_antonyms,252
common,individual,not common,lexical,---,1858
individual,common,not individual,lexical,---,497
wise,foolish,not wise,lexical,contrary_antonyms,373
soft,hardened,not soft,lexical,contrary_antonyms,120
flat,contrasty,not flat,lexical,---,225
found,lost,not found,lexical,---,366
exclusive,inclusive,not exclusive,lexical,---,1089
hostile,amicable,not hostile,lexical,contrary_antonyms,162
ripe,green,not ripe,lexical,contrary_antonyms,127
green,ripe,not green,lexical,contrary_antonyms,154
local,general,not local,lexical,---,500
general,local,not general,lexical,---,216
primary,secondary,not primary,lexical,---,123
new,worn,not new,lexical,---,2965
safe,dangerous,not safe,lexical,---,1741
dangerous,safe,not dangerous,lexical,---,521
robust,frail,not robust,lexical,---,239
right,center,not right,lexical,contrary_antonyms,1620
compliant,defiant,not compliant,lexical,---,173
first,last,not first,lexical,contrary_antonyms,380
last,first,not last,lexical,contrary_antonyms,2668
heavy,light,not heavy,lexical,---,255
light,heavy,not light,lexical,---,206
central,peripheral,not central,lexical,contrary_antonyms,340
sad,glad,not sad,lexical,contrary_antonyms,147
early,middle,not early,lexical,---,268
homogeneous,heterogeneous,not homogeneous,lexical,---,125
actual,potential,not actual,lexical,---,528
optional,obligatory,not optional,lexical,contradictory_antonyms,162
obligatory,optional,not obligatory,lexical,contradictory_antonyms,417
full,thin,not full,lexical,contrary_antonyms,943
old,young,not old,lexical,---,818
young,old,not young,lexical,---,209
physical,mental,not physical,lexical,---,353
simple,complex,not simple,lexical,---,625
complex,simple,not complex,lexical,---,137
thick,thin,not thick,lexical,---,109
live,recorded,not live,lexical,contradictory_antonyms,214
positive,neutral,not positive,lexical,contrary_antonyms,232
neutral,positive,not neutral,lexical,contrary_antonyms,250
attractive,repulsive,not attractive,lexical,contrary_antonyms,223
major,minor,not major,lexical,---,229
direct,retrograde,not direct,lexical,---,397
parallel,perpendicular,not parallel,lexical,contrary_antonyms,163
large,small,not large,lexical,contrary_antonyms,1764
small,large,not small,lexical,contrary_antonyms,486
most,least,not most,lexical,contrary_antonyms,996
least,most,not least,lexical,contrary_antonyms,15197
identical,fraternal,not identical,lexical,---,1766
active,quiet,not active,lexical,contrary_antonyms,773
positive,negative,not positive,lexical,---,232
negative,positive,not negative,lexical,---,178
first,second,not first,lexical,contrary_antonyms,380
second,first,not second,lexical,contrary_antonyms,127
natural,sharp,not natural,lexical,---,590
sharp,natural,not sharp,lexical,---,142
solid,liquid,not solid,lexical,contrary_antonyms,159
free,bound,not free,lexical,---,2270
absolute,relative,not absolute,lexical,---,758
open,closed,not open,lexical,---,3802
separate,joint,not separate,lexical,contradictory_antonyms,636
meaningful,meaningless,not meaningful,lexical,---,154
proud,humble,not proud,lexical,contrary_antonyms,334
serious,frivolous,not serious,lexical,contrary_antonyms,854
wide,narrow,not wide,lexical,contrary_antonyms,266
religious,secular,not religious,lexical,contradictory_antonyms,568
genuine,counterfeit,not genuine,lexical,---,383
strange,familiar,not strange,lexical,---,251
familiar,strange,not familiar,lexical,---,2970
native,adopted,not native,lexical,contradictory_antonyms,664
objective,subjective,not objective,lexical,contradictory_antonyms,144
natural,artificial,not natural,lexical,contradictory_antonyms,590
automatic,manual,not automatic,lexical,contradictory_antonyms,363
nuclear,conventional,not nuclear,lexical,---,108
conventional,nuclear,not conventional,lexical,---,131
strong,weak,not strong,lexical,---,1860
weak,strong,not weak,lexical,---,129
single,double,not single,lexical,---,280
active,stative,not active,lexical,---,773
square,round,not square,lexical,contrary_antonyms,173
external,internal,not external,lexical,---,109
old,new,not old,lexical,contrary_antonyms,818
new,old,not new,lexical,contrary_antonyms,2965
more,less,not more,lexical,---,10527
less,more,not less,lexical,---,10235
real,nominal,not real,lexical,---,1434
dominant,subordinate,not dominant,lexical,contrary_antonyms,107
tall,short,not tall,lexical,contrary_antonyms,142
short,tall,not short,lexical,contrary_antonyms,664
busy,idle,not busy,lexical,---,333
idle,busy,not idle,lexical,---,144
direct,inverse,not direct,lexical,---,397
big,little,not big,lexical,contrary_antonyms,1349
little,big,not little,lexical,contrary_antonyms,136
brave,cowardly,not brave,lexical,contrary_antonyms,125
negative,neutral,not negative,lexical,contrary_antonyms,178
neutral,negative,not neutral,lexical,contrary_antonyms,250
active,dormant,not active,lexical,---,773
foreign,domestic,not foreign,lexical,---,153
solid,gaseous,not solid,lexical,---,159
deep,shallow,not deep,lexical,---,273
bright,dull,not bright,lexical,contrary_antonyms,169
private,public,not private,lexical,contradictory_antonyms,417
public,private,not public,lexical,contradictory_antonyms,533
true,false,not true,lexical,contradictory_antonyms,6524
false,true,not false,lexical,contradictory_antonyms,226
much,little,not much,lexical,contrary_antonyms,10706
little,much,not little,lexical,contrary_antonyms,136
abstract,concrete,not abstract,lexical,---,144
rich,lean,not rich,lexical,---,430
nice,nasty,not nice,lexical,contrary_antonyms,553
late,middle,not late,lexical,---,321
live,dead,not live,lexical,contradictory_antonyms,214
dead,live,not dead,lexical,contradictory_antonyms,1244
beautiful,ugly,not beautiful,lexical,contrary_antonyms,200
wild,tame,not wild,lexical,---,105
clear,opaque,not clear,lexical,---,15096
tough,tender,not tough,lexical,---,119
national,local,not national,lexical,contrary_antonyms,207
local,national,not local,lexical,contrary_antonyms,500
straight,curly,not straight,lexical,---,222
blind,sighted,not blind,lexical,contradictory_antonyms,395
different,same,not different,lexical,---,584
expensive,cheap,not expensive,lexical,---,438
cheap,expensive,not cheap,lexical,---,1238
innocent,guilty,not innocent,lexical,contradictory_antonyms,120
guilty,innocent,not guilty,lexical,contradictory_antonyms,4152
smart,stupid,not smart,lexical,contrary_antonyms,167
stupid,smart,not stupid,lexical,contrary_antonyms,439
fat,thin,not fat,lexical,contrary_antonyms,149
safe,out,not safe,lexical,---,1741
difficult,easy,not difficult,lexical,---,3480
easy,difficult,not easy,lexical,---,9747
near,far,not near,lexical,---,154
dry,sweet,not dry,lexical,---,128
other,same,not other,lexical,contradictory_antonyms,905
solid,hollow,not solid,lexical,---,159
parallel,oblique,not parallel,lexical,---,163
alive,dead,not alive,lexical,contradictory_antonyms,209
dead,alive,not dead,lexical,contradictory_antonyms,1244
optimistic,pessimistic,not optimistic,lexical,contrary_antonyms,154
clear,cloudy,not clear,lexical,---,15096
many,few,not many,lexical,---,9337
few,many,not few,lexical,---,322
